Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Logout,Amit Golani,Babil Khan,Rasika Dugal,Gandharv Dewan,Viacom18 Studios,hindi
2025,The Secret of Devkaali,Niraj Chauhan,Niraj Chauhan,Bhumika Gurung,Mahesh Manjrekar,Chauhan Production,hindi
2025,Ground Zero,Tejas Prabha Vijay Deoskar,Emraan Hashmi,Sai Tamhankar,Zoya Hussain,Excel Entertainment,hindi
2025,Jewel Thief,Kookie GulatiRobbie Garewal,Saif Ali Khan,Jaideep Ahlawat,Nikita Dutta,Marflix Pictures,hindi
2025,Phule,Anant Mahadevan,Pratik Gandhi,Patralekha,,Zee Studios,hindi
2025,Oye Bhootni Ke,Ajay Kailash Yadav,Mahaakshay Chakraborty,Nikita Sharma,Diana Khan,Sahatyam Films,hindi
2025,Raid 2,Raj Kumar Gupta,Ajay Devgn,Riteish Deshmukh,Vaani Kapoor,T-Series Films,hindi
2025,The Bhootnii,Sidhaant Sachdev,Sanjay Dutt,Mouni Roy,Sunny Singh,Soham Rockstar Entertainment,hindi
2025,Costao,Sejal Shah,Nawazuddin Siddiqui,Priya Bapat,Kishore Kumar GGagan Dev Riar,Bhanushali Studios,hindi
2025,The Networker,Vikas Kumar Vishwakarma,Vikram Kochhar,Durgesh Kumar,Ishtiyak Khan,Gutargoo Entertainment,hindi
2025,Romeo S3,Guddu Dhanoa,Thakur Anoop Singh,Palak Tiwari,,Pen Studios,hindi
2025,Bhool Chuk Maaf,Karan Sharma,Rajkummar Rao,Wamiqa Gabbi,,Amazon MGM Studios,hindi
2025,Kapkapiii,Sangeeth Sivan,Tusshar Kapoor,Shreyas Talpade,Jay Thakkar,Zee Studios,hindi
2025,Pune Highway,Rahul da CunhaBugs Bhargava Krishna,Jim Sarbh,Amit Sadh,Manjari Fadnis,Drop D Films,hindi
2025,Kesari Veer,Prince Dhiman,Suniel Shetty,Vivek Oberoi,Sooraj Pancholi,Chauhan Studios,hindi
2025,Chidiya,Mehran Amrohi,Vinay Pathak,Amruta Subhash Svar Kamble,Ayush Pathak,Smiley Films,hindi
2025,Interrogation,Ajoy Varma Raja,Manu Singh,Rajpal Yadav Darshan Jariwala,Yashpal Sharm,Aryan Brothers Entertainment Film,hindi
2025,Stolen,Karan Tejpal,Abhishek Banerjee,Harish Khanna,Mia Maelzer,Jungle Book Studio,hindi
2025,Housefull 5,Tarun Mansukhani,Akshay Kumar,Riteish Deshmukh,Sanjay Dutt,Nadiadwala Grandson Entertainment,hindi
2025,Sitaare Zameen Par,R. S. Prasanna,Aamir Khan,Genelia Deshmukh,,Aamir Khan Productions,hindi
2025,Detective Sherdil,Ravi Chhabriya,Diljit Dosanjh,Diana Penty,Boman Irani,AAZ Films,hindi
2025,Maa,Vishal Furia,Kajol,Ronit Roy,Indraneil Sengupta,Jio Studios,hindi
2025,Well Done CA Sahab!,Sarvesh Kumar Singh,Gopal Datt,Gaurav Paswala,Jyoti Kapoor,Figures and Frames,hindi
2025,Metro... In Dino,Anurag Basu,Aditya Roy Kapur,Sara Ali Khan,Anupam Kher,T-Series Films,hindi
2025,Kaalidhar Laapata,Madhumita,Abhishek Bachchan,Daivik Bhagela,Mohammed Zeeshan Ayyub,Zee Studios,hindi
2025,Akshardham: Operation Vajra Shakti,Ken Ghosh,Akshaye Khanna Gautam Rode,Vivek Dahiya,Akshay Oberoi,Zee Studios,hindi
2025,Maalik,Pulkit,Rajkummar Rao,Manushi Chhillar,Prosenjit Chatterjee,Tips Industries,hindi
2025,Aankhon Ki Gustaakhiyan,Santosh Singh,Vikrant Massey,Shanaya Kapoor,,Zee Studios,hindi
2025,Aap Jaisa Koi,Vivek Soni,R. Madhavan,Fatima Sana Shaikh,,Dharmatic Entertainment,hindi
2025,Saiyaara,Mohit Suri,Ahaan Panday,Aneet Padda,,Yash Raj Films,hindi
2025,Tanvi the Great,Anupam Kher,Anupam Kher,Shubhangi Dutt,Iain Glen,Excel Entertainment,hindi
2025,Nikita Roy,Kussh Sinha,Sonakshi Sinha,Arjun Rampal,Paresh Rawal,Nicky Vicky Bhagnani Films,hindi
2025,Murderbaad,Arnab Chatterjee,Nakul Roshan Sahdev,Kanikka Kapur,Sharib Hashmi,Reliance Entertainment,hindi
2025,Sant Tukaram,Aditya Om,Subodh Bhave,Sheena Chohan,Sanjay Mishra,Curzon Films,hindi
