Name,Director,Cast,Studio
The Rabbit House,Vaibhav Kulkarni,"Amit RiyaanKarishmaPadmanabh, Gagan PradeepPreeti SharmaSuresh Kumbhar",Geetai Productions
Fateh,Sonu Sood,Sonu SoodNaseeruddin ShahJacqueline Fernandez,"Zee Studios, Shakti Sagar Productions"
Match Fixing,Kedar Gaekwad,Vineet Kumar SinghRaj ArjunShataf FigarAnuja Sathe,Artarena Creations
Emergency,Kangana Ranaut,Kangana RanautAnupam KherShreyas TalpadeMahima ChaudhryMilind SomanSatish Kaushik,"Zee Studios, Manikarnika Films"
Azaad,Abhishek Kapoor,Ajay DevgnDiana PentyAaman DevganRasha ThadaniMohit MalikPiyush Mishra,"RSVP Movies, Guy In The Sky Pictures"
Mission Grey House,Naushad Siddiqui,Abeer KhanPuja SharmaRajesh SharmaKiran KumarNikhat KhanKamlesh SawantRaza Murad,"Reliance Entertainment, Rafat Films Entertainment"
Sangee,Sumit Kulkarni,Sharib HashmiSanjay BishnoiGaurav MoreVidya MalvadeShyamraj PatilMartin Jishil,"Yantrana Films, Armoks Films"
Hisaab Barabar,Ashwni Dhir,R. MadhavanNeil Nitin MukeshKirti KulhariRashami Desai,"Jio Studios, SP Cinecorp, ZEE5"
Sky Force,Sandeep KewlaniAbhishek Anil Kapur,Akshay KumarVeer PahariyaSara Ali KhanNimrat Kaur,"Jio Studios, Maddock Films, Leo Films"
Sweet Dreams,Victor Mukherjee,Amol ParasharMithila Palkar,"Jio Studios, Mango People Media, Disney+Hotstar"
The Storyteller,Anant Mahadevan,Paresh RawalAdil HussainRevathiTannishtha Chatterjee,"Jio Studios, Purpose Entertainment, Quest Films, Disney+Hotstar"
Deva,Rosshan Andrrews,Shahid KapoorPooja Hegde,"Zee Studios, Roy Kapur Films"
Loveyapa,Advait Chandan,Khushi KapoorJunaid Khan,"Zee Studios, Phantom Studios, AGS Entertainment"
Badass Ravi Kumar,Keith Gomes,Himesh ReshammiyaPrabhu DevaKirti KulhariSonia KapoorRajesh SharmaJohny LeverNavneet NishanManish WadhwaSanjay MishraAnil George,Himesh Reshammiya Melodies
Mrs.,Aarti Kadav,Sanya MalhotraNishant DahiyaKanwaljit Singh,"Jio Studios, Baweja Studios, ZEE5"
The Mehta Boys,Boman Irani,Boman IraniAvinash Tiwary,"Irani Movietone, Chalkboard Entertainment, Amazon Prime Video"
Bobby Aur Rishi Ki Love Story,Kunal Kohli,Vardhan PuriKaveri Kapur,"Jio Studios, The Production Headquarters, The Indian Scion Production, Disney+Hotstar"
Chhaava,Laxman Utekar,Vicky KaushalRashmika MandannaAkshaye Khanna,Maddock Films
Dhoom Dhaam,Rishab Seth,Pratik GandhiYami Gautam,"Jio Studios, B62 Studios, Netflix"
Mere Husband Ki Biwi,Mudassar Aziz,Arjun KapoorRakul Preet SinghBhumi Pednekar,Pooja Entertainment
Kaushaljis vs Kaushal,Seemaa Desai,Ashutosh RanaSheeba ChadhaIsha TalwarPavail Gulati,"Jio Studios, Merry Go Round Studios, Mumbai Talkeez, JioHotstar"
Shaila,Saki Shah,Rohit ChaudharySara KhanSonam AroraAadhvikaaDurvesh RameshwaramHussain KhanKetan Raj Sharma,"Reliance Entertainment, Riyom Films"
Crazxy,Girish Kohli,Sohum Shah,Sohum Shah Films
Superboys of Malegaon,Reema Kagti,Adarsh GouravVineet Kumar SinghShashank AroraAnuj Singh Duhan,"Amazon MGM Studios, Excel Entertainment, Tiger Baby Films"
Dil Dosti Aur Dogs,Viral Shah,Neena GuptaMasumeh MakhijaSharad KelkarKunaal Roy KapurKeerti Gaekwad KelkarTinu AnandEhan BhatTridha Choudhury,"Jio Studios, The Creative Tribe, JioHotstar"
Nadaaniyan,Shauna Gautam,Ibrahim Ali KhanKhushi KapoorMahima ChaudhrySuniel ShettyDia MirzaJugal Hansraj,"Dharmatic Entertainment, Netflix"
Riwaj,Manoj Sati,Myra SareenAftab ShivdasaniAdhvik MahajanMithun ChakrabortyAnita RajJaya Prada,"Kashish Khan Production, ZEE5"
The Diplomat,Shivam Nair,John AbrahamSadia KhateebRevathyKumud Mishra,"T-Series Films, JA Entertainment, Wakaoo Films, Fortune Pictures"
