Name,Director,Cast_1,Cast_2,Cast_3,Studio
Baaghi 4,A. Harsha,Tiger Shroff,Sanjay Dutt,Sonam Bajwa,Nadiadwala Grandson Entertainment
The Bengal Files,Vivek Agnihotri,Mithun Chakraborty,Anupam Kher,Puneet Issar,Abhishek Agarwal Arts
Inspector Zende,Chinmay Mandlekar,Manoj Bajpayee,Jim Sarbh,Bhalchandra Kadam,Northern Lights Films
Ufff Yeh Siyapaa,G. Ashok,Soham Shah,Nushrratt Bharuccha,Nora Fatehi,Luv Films
Humans in the Loop,Aranya Sahay,Sonal Madhushankar,Ridhima Singh,Gita Guha,Storiculture
Heer Express,Umesh Shukla,Divita Juneja,Ashutosh Rana,Sanjay Mishra,Tulip Entertainment
Love in Vietnam,Rahat Shah Kazmi,Shantanu Maheshwari,Avneet Kaur,Khả Ngân,Zee Studios
Ek Chatur Naar,Umesh Shukla,Divya Khosla Kumar,Neil Nitin Mukesh,,T-Series Films
Jugnuma: The Fable,Raam Reddy,Manoj Bajpayee,Deepak Dobriyal,Priyanka Bose,Prspctvs Productions
Aabeer Gulaal,Aarti S. Bagdi,Fawad Khan,Vaani Kapoor,,A Richer Lens Entertainment
Mannu Kya Karegga,Ssanjay Tripaathy,Vyom Yadav,Saachi Bindra,Vinay Pathak,Curious Eyes Cinema
Jolly LLB 3,Subhash Kapoor,Akshay Kumar,Arshad Warsi,Huma Qureshi,Star Studio18
Nishaanchi,Anurag Kashyap,Aaishvary Thackeray,Vedika Pinto,Monika Panwar,Amazon MGM Studios
Ajey: The Untold Story of a Yogi,Ravindra Gautam,Anant Joshi,Paresh Rawal,Dinesh Lal Yadav,Samrat Cinematics
Homebound,Neeraj Ghaywan,Ishaan Khatter,Vishal Jethwa,Janhvi Kapoor,Dharma Productions
Tu Meri Poori Kahani,Suhrita Das,Arhaan Pateel,Shammi Duhan,Hirranya Ojha,Indira Entertainment
Sunny Sanskari Ki Tulsi Kumari,Shashank Khaitan,Varun Dhawan,Janhvi Kapoor,Sanya Malhotra,Dharma Productions
Lord Curzon Ki Haveli,Anshuman Jha,Arjun Mathur,Rasika Dugal,Tanmay Dhanania,Golden Ratio Films
Controll,Safdar Abbas,Thakur Anoop Singh,Rohit Roy,Priya Anand,Pen Studios
Bhagwat: Chapter One – Raakshas,Akshay Shere,Arshad Warsi,Jitendra Kumar,Ayesha Kaduskar,Jio Studios
Greater Kalesh,Aditya Chandiok,Ahsaas Channa,Supriya Shukla,,Terrible Tinny Tales
WingMan,Anuj Gulati,Shashank Arora,Trimala Adhikari,Auritra Ghosh,Lionsgate Play
Thamma,Aditya Sarpotdar,Ayushmann Khurrana,Rashmika Mandanna,Nawazuddin Siddiqui,Maddock Films
Ek Deewane Ki Deewaniyat,Milap Zaveri,Harshvardhan Rane,Sonam Bajwa,,Desi Movies Factory
The Taj Story,Tushar Amrish Goel,Paresh Rawal,Zakir Hussain,Amruta Khanvilkar,Swarnim Global Services
Single Salma,Nachiket Samant,Huma Qureshi,Sunny Singh,Shreyas Talpade,Star Studio18
Haq,Suparn Verma,Emraan Hashmi,Yami Gautam,,Junglee Pictures
Jatadhara,Venkat KalyanAbhishek Jaiswal,Sudheer Babu,Sonakshi Sinha,Divya Khosla Kumar,Zee Studios
Jassi Weds Jassi,Paran Bawa,Harshh Vardhan Singh Deo,Rehmat Rattan,Ranvir Shorey,Divinity Studio
Baramulla,Aditya Suhas Jambhale,Manav Kaul,Bhasha Sumbli,,Jio Studios
De De Pyaar De 2,Anshul Sharma,Ajay Devgn,R. Madhavan,Rakul Preet Singh,T-Series Films
Agra,Kanu Behl,Mohit Agarwal,Priyanka Bose,Ruhani Sharma,Saregama
Delhi,Devendra Malviya,Brijendra Kala,Samar Jai Singh,Siddharth Bharadwaj,Midas Touch Films
Kaal Trighori,Nitin Vaidya,Arbaaz Khan,Rituparna Sengupta,Mahesh Manjrekar,Pen Studios
Nishaanchi 2,Anurag Kashyap,Aaishvary Thackeray,Vedika Pinto,Monika Panwar,Amazon MGM Studios
Bahadur,Razneesh ‘Razy’ Ghai,Farhan Akhtar,Raashii Khanna,,Excel Entertainment
Mastiii 4,Milap Zaveri,Riteish Deshmukh,Vivek Oberoi,Aftab Shivdasani,Balaji Motion Pictures
Tere Ishk Mein,Aanand L. Rai,Dhanush,Kriti Sanon,,T-Series Films
Gustaakh Ishq,Vibhu Puri,Naseeruddin Shah,Fatima Sana Shaikh,Vijay Varma,Stage 5 Productions
Me No Pause Me Play,Samar K Mukharjee,Kamya Panjabi,Deepshikha Nagpal,Manoj Kumar Sharma,Digi Filming
Kaisi Ye Paheli,Ananyabrata Chakravorty,Rajit Kapoor,Sukant Goel,Chittaranjan Giri,Take Pictures
Dhurandhar,Aditya Dhar,Ranveer Singh,Akshaye Khanna,Sanjay Dutt,Jio Studios
Kis Kisko Pyaar Karoon 2,Anukalp Goswami,Kapil Sharma,Manjot Singh,Hira Warina,Star Studio18
Saali Mohabbat,Tisca Chopra,Radhika Apte,Divyenndu,Anshumaan Pushkar,Stage 5 Prdoction
The Great Shamsuddin Family,Anusha Rizvi,Kritika Kamra,Shreya Dhanwanthary,Sheeba Chaddha,Star Studio18
Raat Akeli Hai: The Bansal Murders,Honey Trehan,Nawazuddin Siddiqui,Radhika Apte,Chitrangada Singh,RSVP Movies
Durlabh Prasad Ki Dusri Shadi,Siddhant Raj Singh,Sanjay Mishra,Mahima Chaudhry,,Eksha Entertainment
Tu Meri Main Tera Main Tera Tu Meri,Sameer Vidwans,Kartik Aaryan,Ananya Panday,Neena Gupta,Dharma Productions
