Name,Director,Cast,Studio,Table
Be Happy,Remo D'Souza,Abhishek BachchanNora FatehiNassarInayat VermaJohnny LeverHarleen Sethi,"Remo D'Souza Entertainment, Amazon Prime Video",3
Inn Galiyon Mein,Avinash Das,Vivaan ShahAvantika DassaniJaved Jaffrey,Yadunath Films,3
Aachari Baa,Hardik Gajjar,Neena GuptaVatsal ShethApoorva AroraKabir Bedi,"Jio Studios, Hardik Gajjar Films, Backbencher Pictures",3
Baida,Puneet Sharma,Sudhanshu RaiManisha RaiShobhit Sujay,MNM Entertainment,3
Tumko Meri Kasam,Vikram Bhatt,Anupam KherIshwak SinghAdah SharmaEsha Deol,Indira Entertainment,3
Pintu Ki Pappi,Shiv Hare,ShushantJaanyaa JoshiViidhiGanesh AcharyaMurali SharmaVijay Raaz,"Mythri Movie Makers, V2S Production & Entertainment",3
Sikandar,AR Murugadoss,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,"Nadiadwala Grandson Entertainment, Salman Khan Films",3
Jaat,Gopichand Malineni,Sunny DeolRandeep HoodaRegina CassandraSaiyami Kher,"Mythri Movie Makers, People Media Factory",4
Chhorii 2,Vishal Furia,Nushrratt BharucchaSoha Ali KhanGashmeer MahajaniSaurabh GoyalPallavi AjayKuldeep SareenHardika Sharma,"T-Series Films, Abundantia Entertainment, Pshych Film, Tamarisk Lane, Amazon Prime Video",4
Kesari Chapter 2,Karan Singh Tyagi,Akshay KumarR. MadhavanAnanya Panday,"Dharma Productions, Cape Of Good Films, Leo Media Collective",4
Logout,Amit Golani,Babil KhanRasika DugalGandharv DewanNimisha Nair,"Viacom18 Studios, Posham Pa Pictures, ZEE5",4
The Secret of Devkaali,Niraj Chauhan,Niraj ChauhanBhumika GurungMahesh ManjrekarRamkrishan Dhakad,Chauhan Production,4
Ground Zero,Tejas Prabha Vijay Deoskar,Emraan HashmiSai TamhankarZoya HussainMukesh TiwariLalit Prabhakar,"Excel Entertainment, Dreamzkrraft Entertainment, Talisman Films",4
Jewel Thief,Kookie GulatiRobbie Garewal,Saif Ali KhanJaideep AhlawatNikita DuttaKunal Kapoor,"Marflix Pictures, Netflix",4
Phule,Anant Mahadevan,Pratik GandhiPatralekha,"Zee Studios, Dancing Shiva Films, Kingsmen Productions",4
