Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Raid 2,Raj Kumar Gupta,Ajay Devgn, Riteish Deshmukh, Vaani Kapoor,"T-Series Films, Panorama Studios",hindi
2025,The Bhootnii,Sidhaant Sachdev,Sanjay Dutt, Mouni Roy," Sunny Singh, Palak Tiwari, Beyounick, Aasif Khan","Soham Rockstar Entertainment, Three Dimension Motion Pictures",hindi
2025,Costao,Sejal Shah,Nawazuddin Siddiqui, Priya Bapat, Kishore Kumar GGagan Dev Riar,"Bhanushali Studios, Bombay Fables, ZEE5",hindi
2025,The Networker,Vikas Kumar Vishwakarma,Vikram Kochhar, Durgesh Kumar," Ishtiyak Khan, Rishabh Pathak, Brijendra Kala, Vindhya Tiwari, Nikhat Khan","Gutargoo Entertainment, Navritu Films",hindi
2025,Romeo S3,Guddu Dhanoa,Thakur Anoop Singh, Palak Tiwari,,"Pen Studios, Wild River Pictures",hindi
2025,Bhool Chuk Maaf,Karan Sharma,Rajkummar Rao, Wamiqa Gabbi,,"Amazon MGM Studios, Maddock Films",hindi
2025,Kapkapiii,Sangeeth Sivan,Tusshar Kapoor, Shreyas Talpade," Jay Thakkar, Siddhi Idnani","Zee Studios, Bravo Entertainment",hindi
2025,Pune Highway,Rahul da CunhaBugs Bhargava Krishna,Jim Sarbh, Amit Sadh," Manjari Fadnis, Ketaki Narayan","Drop D Films, Ten Years Younger Productions",hindi
2025,Kesari Veer,Prince Dhiman,Suniel Shetty, Vivek Oberoi," Sooraj Pancholi, Akansha Sharma",Chauhan Studios,hindi
2025,Chidiya,Mehran Amrohi,Vinay Pathak, Amruta Subhash Svar Kamble, Ayush Pathak,"Smiley Films, Key Media Works",hindi
2025,Interrogation,Ajoy Varma Raja,Manu Singh, Rajpal Yadav Darshan Jariwala," Yashpal Sharm, Girish Kulkarni","Aryan Brothers Entertainment Film, Naam Mein Kya Rakha Hai Production, ZEE5",hindi
2025,Stolen,Karan Tejpal,Abhishek Banerjee, Harish Khanna," Mia Maelzer, Sahidur Rahaman, Shubham Vardhan","Jungle Book Studio, Amazon Prime Video",hindi
2025,Housefull 5,Tarun Mansukhani,Akshay Kumar, Riteish Deshmukh," Sanjay Dutt, Abhishek Bachchan, Nana Patekar, Fardeen Khan, Dino Morea, Chunky Pandey, Jackie Shroff, Nikitin Dheer, Shreyas Talpade, Ranjeet, Johnny Lever, Jacqueline Fernandez, Nargis Fakhri, Sonam Bajwa, Chitrangda Singh, Soundarya Sharma",Nadiadwala Grandson Entertainment,hindi
2025,Sitaare Zameen Par,R. S. Prasanna,Aamir Khan, Genelia Deshmukh,,Aamir Khan Productions,hindi
2025,Detective Sherdil,Ravi Chhabriya,Diljit Dosanjh, Diana Penty," Boman Irani, Chunky Panday, Ratna Pathak Shah, Banita Sandhu, Sumeet Vyas","AAZ Films, Offside Entertainment, Maurya Entertainment, ZEE5",hindi
2025,Maa,Vishal Furia,Kajol, Ronit Roy," Indraneil Sengupta, Kherin Sharma","Jio Studios, Devgn Films, Panorama Studios",hindi
2025,Well Done CA Sahab!,Sarvesh Kumar Singh,Gopal Datt, Gaurav Paswala," Jyoti Kapoor, Sayandeep Sengupta, Nishma Soni, Archan Trivedi, Makrand Shukla, Samar Jajoriya, Sam Jajoriya, Rama Krishna Dixit",Figures and Frames,hindi
2025,Metro... In Dino,Anurag Basu,Aditya Roy Kapur, Sara Ali Khan," Anupam Kher, Neena Gupta, Pankaj Tripathi, Konkona Sen Sharma, Ali Fazal, Fatima Sana Shaikh","T-Series Films, Anurag Basu Productions",hindi
2025,Kaalidhar Laapata,Madhumita,Abhishek Bachchan, Daivik Bhagela, Mohammed Zeeshan Ayyub,"Zee Studios, Emmay Entertainment, ZEE5",hindi
2025,Akshardham: Operation Vajra Shakti,Ken Ghosh,Akshaye Khanna Gautam Rode, Vivek Dahiya," Akshay Oberoi, Abhilash Chaudhary, Parvin Dabas, Samir Soni, Abhimanyu Singh, Mir Sarwar, Manjari Fadnis, Chandan Roy, Shivam Bhaargava","Zee Studios, Contiloe Pictures",hindi
2025,Maalik,Pulkit,Rajkummar Rao, Manushi Chhillar, Prosenjit Chatterjee,"Tips Industries, Northern Lights Films",hindi
2025,Aankhon Ki Gustaakhiyan,Santosh Singh,Vikrant Massey, Shanaya Kapoor,,"Zee Studios, Mini Films",hindi
2025,Aap Jaisa Koi,Vivek Soni,R. Madhavan, Fatima Sana Shaikh,,"Dharmatic Entertainment, Netflix",hindi
2025,Saiyaara,Mohit Suri,Ahaan Panday, Aneet Padda,,Yash Raj Films,hindi
2025,Tanvi the Great,Anupam Kher,Anupam Kher, Shubhangi Dutt," Iain Glen, Boman Irani, Jackie Shroff, Arvind Swami, Pallavi Joshi, Karan Tacker, Nassar","Excel Entertainment, NFDC, Anupam Kher Studio",hindi
2025,Nikita Roy,Kussh Sinha,Sonakshi Sinha, Arjun Rampal," Paresh Rawal, Suhail Nayyar","Nicky Vicky Bhagnani Films, Kratos Entertainment, Nikita Pai Films",hindi
2025,Murderbaad,Arnab Chatterjee,Nakul Roshan Sahdev, Kanikka Kapur," Sharib Hashmi, Amole Gupte, Saloni Batra","Reliance Entertainment, ACjee Entertainment",hindi
2025,Sant Tukaram,Aditya Om,Subodh Bhave, Sheena Chohan," Sanjay Mishra, Arun Govil",Curzon Films,hindi
2025,Mahavatar Narsimha,Ashwin Kumar,Animated characters,,,"Hombale Films, Kleem Productions",hindi
2025,So Long Valley,Man Singh,Tridha Choudhury, Akanksha Puri," Vikram Kochhar, Alisha Parveen, Pankaj Choudhary",Sourya Studios,hindi
2025,Sarzameen,Kayoze Irani,Prithviraj Sukumaran, Kajol, Ibrahim Ali Khan,"Star Studios, Dharma Productions, JioHotstar",hindi
2025,Rasa,Angith JayarajPreetish Jayaraj,Shishir Sharma, Rishi Bissa," Vishishtha Chawla, Rajiv Kumar","Purnam Films, Haroon Rashid Films, Vidya Entertainment",hindi
2025,Dhadak 2,Shazia Iqbal,Siddhant Chaturvedi, Triptii Dimri,,"Zee Studios, Dharma Productions, Cloud 9 Pictures",hindi
2025,Son of Sardaar 2,Vijay Kumar Arora,Ajay Devgn, Mrunal Thakur, Ravi Kishan,"Jio Studios, Devgn Films, YRV Studios",hindi
2025,Andaaz 2,Suneel Darshan,Aayush Kumar, Akaisha, Natasha Fernandez,Shree Krishna International,hindi
